prior,cross_coupling,side_information,arm,events,unique_summary_scalars,total_gap_nats,total_gap_nats_lo,total_gap_nats_hi,compression_nats,fitting_nats,epsilon_predictor_gap,coverage_50,coverage_80,coverage_90,gain_over_diag_nats,gain_over_diag_nats_lo,gain_over_diag_nats_hi
gaussian,0,coarse,full_exact,6144,14,0,0,0,0,0,0,0.4995829264,0.8013203939,0.9011230469,0.08353440558,0.07916997185,0.08801568446
gaussian,0,coarse,diag_exact,6144,8,0.08353440558,0.07916997185,0.08801568446,0.08353440558,0,0.04064692552,0.4991149902,0.8006286621,0.9011027018,0,0,0
gaussian,0,coarse,diag_plugin,6144,8,0.2281459147,0.2216168423,0.2353435408,0.08353440558,0.1446115092,0.1060919985,0.4719441732,0.7692159017,0.876566569,-0.1446115092,-0.1512998848,-0.1377096088
gaussian,0,coarse,block_exact,6144,10,0,0,0,0,0,0,0.4995829264,0.8013203939,0.9011230469,0.08353440558,0.07916997185,0.08801568446
gaussian,0,coarse,block_plugin,6144,10,1.19262239e-18,-2.272307053e-19,2.620832877e-18,0,1.19262239e-18,1.822155162e-31,0.4995829264,0.8013203939,0.9011230469,0.08353440558,0.07916997185,0.08801568446
gaussian,0,full_operator,full_exact,6144,14,0,0,0,0,0,0,0.4995829264,0.8013203939,0.9011230469,0,0,0
gaussian,0,full_operator,diag_exact,6144,8,0,0,0,0,0,0,0.4995829264,0.8013203939,0.9011230469,0,0,0
gaussian,0,full_operator,diag_plugin,6144,8,1.19262239e-18,-2.272307053e-19,2.620832877e-18,0,1.19262239e-18,1.822155162e-31,0.4995829264,0.8013203939,0.9011230469,-1.19262239e-18,-2.620832877e-18,2.272307053e-19
gaussian,0,full_operator,block_exact,6144,10,0,0,0,0,0,0,0.4995829264,0.8013203939,0.9011230469,0,0,0
gaussian,0,full_operator,block_plugin,6144,10,1.19262239e-18,-2.272307053e-19,2.620832877e-18,0,1.19262239e-18,1.822155162e-31,0.4995829264,0.8013203939,0.9011230469,-1.19262239e-18,-2.620832877e-18,2.272307053e-19
gaussian,0.45,coarse,full_exact,6144,14,0,0,0,0,0,0,0.4985046387,0.8003133138,0.9016316732,0.1366933473,0.1308889736,0.1426971256
gaussian,0.45,coarse,diag_exact,6144,8,0.1366933473,0.1308889736,0.1426971256,0.1366933473,0,0.06613534016,0.4989827474,0.8004862467,0.9012349447,0,0,0
gaussian,0.45,coarse,diag_plugin,6144,8,0.3472357783,0.3381149852,0.3564807294,0.1366933473,0.210542431,0.163199953,0.4573771159,0.752919515,0.8636779785,-0.210542431,-0.2190004578,-0.2019542284
gaussian,0.45,coarse,block_exact,6144,10,0.05918588906,0.05554868887,0.06284263661,0.05918588906,0,0.02800330885,0.4994405111,0.8001403809,0.9012654622,0.07750745829,0.07351134359,0.08176187813
gaussian,0.45,coarse,block_plugin,6144,10,0.1317048385,0.1275294431,0.136203752,0.05918588906,0.07251894941,0.06232644971,0.4802246094,0.7799580892,0.8866170247,0.004988508879,-0.001022548663,0.01100751087
gaussian,0.45,full_operator,full_exact,6144,14,0,0,0,0,0,0,0.4985046387,0.8003133138,0.9016316732,0,0,0
gaussian,0.45,full_operator,diag_exact,6144,8,0,0,0,0,0,0,0.4985046387,0.8003133138,0.9016316732,0,0,0
gaussian,0.45,full_operator,diag_plugin,6144,8,-1.084202172e-18,-4.681494631e-18,2.394731548e-18,0,-1.084202172e-18,2.012326762e-32,0.4985046387,0.8003133138,0.9016316732,1.084202172e-18,-2.394731548e-18,4.681494631e-18
gaussian,0.45,full_operator,block_exact,6144,10,0,0,0,0,0,0,0.4985046387,0.8003133138,0.9016316732,0,0,0
gaussian,0.45,full_operator,block_plugin,6144,10,-1.084202172e-18,-4.681494631e-18,2.394731548e-18,0,-1.084202172e-18,2.012326762e-32,0.4985046387,0.8003133138,0.9016316732,1.084202172e-18,-2.394731548e-18,4.681494631e-18
gaussian,0.8,coarse,full_exact,6144,14,0,0,0,0,0,0,0.4985555013,0.7993570964,0.9018859863,0.09188935974,0.08713058746,0.09625320996
gaussian,0.8,coarse,diag_exact,6144,8,0.09188935974,0.08713058746,0.09625320996,0.09188935974,0,0.04542144857,0.4988505046,0.799794515,0.9017333984,0,0,0
gaussian,0.8,coarse,diag_plugin,6144,8,0.6013271817,0.5868221298,0.6155216607,0.09188935974,0.5094378219,0.2853787394,0.4306131999,0.7218933105,0.837117513,-0.5094378219,-0.5233452083,-0.4962167754
gaussian,0.8,coarse,block_exact,6144,10,0.03947795659,0.03646191581,0.04246784583,0.03947795659,0,0.01825828316,0.4987589518,0.799794515,0.9017842611,0.05241140315,0.04873702459,0.05593659349
gaussian,0.8,coarse,block_plugin,6144,10,0.4097521601,0.3999266979,0.4200681245,0.03947795659,0.3702742035,0.1953037865,0.4456380208,0.7410481771,0.8548380534,-0.3178628003,-0.3283959688,-0.3075357794
gaussian,0.8,full_operator,full_exact,6144,14,0,0,0,0,0,0,0.4985555013,0.7993570964,0.9018859863,0,0,0
gaussian,0.8,full_operator,diag_exact,6144,8,0,0,0,0,0,0,0.4985555013,0.7993570964,0.9018859863,0,0,0
gaussian,0.8,full_operator,diag_plugin,6144,8,-9.035018104e-19,-7.337789953e-18,5.168482106e-18,0,-9.035018104e-19,6.9178113e-32,0.4985555013,0.7993570964,0.9018859863,9.035018104e-19,-5.168482106e-18,7.337789953e-18
gaussian,0.8,full_operator,block_exact,6144,10,0,0,0,0,0,0,0.4985555013,0.7993570964,0.9018859863,0,0,0
gaussian,0.8,full_operator,block_plugin,6144,10,-9.035018104e-19,-7.337789953e-18,5.168482106e-18,0,-9.035018104e-19,6.9178113e-32,0.4985555013,0.7993570964,0.9018859863,9.035018104e-19,-5.168482106e-18,7.337789953e-18
mixture,0,coarse,full_exact,6144,14,0,0,0,0,0,0,0.4987386068,0.7991943359,0.8999938965,0.05525557913,0.0521783264,0.05878797356
mixture,0,coarse,diag_exact,6144,8,0.05525557913,0.0521783264,0.05878797356,0.05525557913,0,0.02193802956,0.4984741211,0.7985432943,0.8990885417,0,0,0
mixture,0,coarse,diag_plugin,6144,8,0.1372325441,0.1334587525,0.1412510845,0.05525557913,0.08197696494,0.05317062014,0.4813944499,0.7792460124,0.8847554525,-0.08197696494,-0.08666084665,-0.07743206515
mixture,0,coarse,block_exact,6144,10,0,0,0,0,0,0,0.4987386068,0.7991943359,0.8999938965,0.05525557913,0.0521783264,0.05878797356
mixture,0,coarse,block_plugin,6144,10,8.881422796e-18,2.556232497e-18,1.552385517e-17,0,8.881422796e-18,4.520693809e-31,0.4987386068,0.7991943359,0.8999938965,0.05525557913,0.0521783264,0.05878797356
mixture,0,full_operator,full_exact,6144,14,0,0,0,0,0,0,0.4987386068,0.7991943359,0.8999938965,0,0,0
mixture,0,full_operator,diag_exact,6144,8,0,0,0,0,0,0,0.4987386068,0.7991943359,0.8999938965,0,0,0
mixture,0,full_operator,diag_plugin,6144,8,4.436148714e-16,4.26682231e-16,4.610819331e-16,0,4.436148714e-16,6.576555226e-31,0.4987386068,0.7991943359,0.8999938965,-4.436148714e-16,-4.610819331e-16,-4.26682231e-16
mixture,0,full_operator,block_exact,6144,10,0,0,0,0,0,0,0.4987386068,0.7991943359,0.8999938965,0,0,0
mixture,0,full_operator,block_plugin,6144,10,4.436148714e-16,4.26682231e-16,4.610819331e-16,0,4.436148714e-16,6.576555226e-31,0.4987386068,0.7991943359,0.8999938965,-4.436148714e-16,-4.610819331e-16,-4.26682231e-16
mixture,0.45,coarse,full_exact,6144,14,0,0,0,0,0,0,0.4996948242,0.7993164062,0.9011433919,0.08928329561,0.08498636994,0.09336430839
mixture,0.45,coarse,diag_exact,6144,8,0.08928329561,0.08498636994,0.09336430839,0.08928329561,0,0.03631660066,0.4985046387,0.7996724447,0.9009399414,0,0,0
