witness,value,scope
velocity_clean_conversion_max_error,1.1102230246251565e-16,finite_method_only
velocity_clean_weighted_loss_max_error,1.249000902703301e-16,finite_method_only
intrinsic_ddim_oracle_path_max_error,0.0,finite_method_only
intrinsic_ddim_forbidden_max_norm,1.4511800441169812e-16,finite_method_only
intrinsic_ddim_observed_drift_max_norm,1.5700924586837752e-16,finite_method_only
intrinsic_ddim_terminal_max_error,0.0,finite_method_only
joint_score_slice_implied_variance,0.35999999999999993,finite_method_only
true_marginal_variance,1.0,finite_method_only
joint_slice_vs_marginal_score_gap_at_one,1.7777777777777781,finite_method_only
coherent_cross_covariance,0.8,finite_method_only
independent_cross_covariance,0.0,finite_method_only
coherent_sum_variance,3.6,finite_method_only
independent_sum_variance,2.0,finite_method_only
