design,protocol,rate_hz,patch_points,observations,events,method,statistic_scalars,layout_scalars,coefficient_kl,target_kl,epsilon_gap_alpha08,goal_only_rank1_target_kl,goal_only_rank1_scalars,goal_only_exact_target_kl,goal_only_exact_scalars
reviewer_six_dimensional,coefficient,0,0,0,1,full,27,0,0.0,0.0,0.0,0.007827445063643967,4,0.0,5
reviewer_six_dimensional,coefficient,0,0,0,1,natural_blocks,19,0,2.642999525732944,1.0721527177319856,0.3637636064044039,0.007827445063643967,4,0.0,5
reviewer_six_dimensional,coefficient,0,0,0,1,mean_precision,19,0,1.4675401585739722,0.4574391484729621,0.13033754415991283,0.007827445063643967,4,0.0,5
reviewer_six_dimensional,coefficient,0,0,0,1,moment_blocks,19,0,0.5526618616280481,0.0,0.0,0.007827445063643967,4,0.0,5
reviewer_six_dimensional,coefficient,0,0,0,1,trace_isotropic,9,0,3.012041259365843,0.9824196144309516,0.4278702725384866,0.007827445063643967,4,0.0,5
reviewer_six_dimensional,coefficient,0,0,0,1,prior_lowrank,18,0,0.03130978025457609,0.009550306024423083,0.005426976205799794,0.007827445063643967,4,0.0,5
fixed_points_1024,fixed_points,1024,16,64,256,full,14,0,0.0,0.0,0.0,0.9189704096782214,4,0.0,5
fixed_points_1024,fixed_points,1024,16,64,256,natural_blocks,10,0,17.91287072268498,9.960608813786347,1.1315959575134957,0.9189704096782214,4,0.0,5
fixed_points_1024,fixed_points,1024,16,64,256,mean_precision,10,0,0.5871271783803138,0.0996961901008091,0.0018880050180758968,0.9189704096782214,4,0.0,5
fixed_points_1024,fixed_points,1024,16,64,256,moment_blocks,10,0,0.3877347981786956,0.0,0.0,0.9189704096782214,4,0.0,5
fixed_points_1024,fixed_points,1024,16,64,256,trace_isotropic,6,0,17.966055134413175,9.879846509671538,1.1172453469812604,0.9189704096782214,4,0.0,5
fixed_points_1024,fixed_points,1024,16,64,256,prior_lowrank,8,0,3.048891150289298,1.7404338692162116,0.5343734783195062,0.9189704096782214,4,0.0,5
fixed_points_2048,fixed_points,2048,16,64,256,full,14,0,0.0,0.0,0.0,0.8063766411848912,4,0.0,5
fixed_points_2048,fixed_points,2048,16,64,256,natural_blocks,10,0,33.90904369383286,18.0998632718256,1.8423726503234807,0.8063766411848912,4,0.0,5
fixed_points_2048,fixed_points,2048,16,64,256,mean_precision,10,0,1.6636303593128117,0.4325184678968279,0.008210361679375819,0.8063766411848912,4,0.0,5
fixed_points_2048,fixed_points,2048,16,64,256,moment_blocks,10,0,0.7985934235191561,0.0,0.0,0.8063766411848912,4,0.0,5
fixed_points_2048,fixed_points,2048,16,64,256,trace_isotropic,6,0,35.384408533962564,17.992283154842355,1.8211643076069883,0.8063766411848912,4,0.0,5
fixed_points_2048,fixed_points,2048,16,64,256,prior_lowrank,8,0,2.7240385514549366,1.4785902585355932,0.4995764042863835,0.8063766411848912,4,0.0,5
fixed_duration_1024,fixed_duration,1024,16,64,256,full,14,0,0.0,0.0,0.0,0.9189704096782214,4,0.0,5
fixed_duration_1024,fixed_duration,1024,16,64,256,natural_blocks,10,0,17.91287072268498,9.960608813786347,1.1315959575134957,0.9189704096782214,4,0.0,5
fixed_duration_1024,fixed_duration,1024,16,64,256,mean_precision,10,0,0.5871271783803138,0.0996961901008091,0.0018880050180758968,0.9189704096782214,4,0.0,5
fixed_duration_1024,fixed_duration,1024,16,64,256,moment_blocks,10,0,0.3877347981786956,0.0,0.0,0.9189704096782214,4,0.0,5
fixed_duration_1024,fixed_duration,1024,16,64,256,trace_isotropic,6,0,17.966055134413175,9.879846509671538,1.1172453469812604,0.9189704096782214,4,0.0,5
fixed_duration_1024,fixed_duration,1024,16,64,256,prior_lowrank,8,0,3.048891150289298,1.7404338692162116,0.5343734783195062,0.9189704096782214,4,0.0,5
fixed_duration_2048,fixed_duration,2048,32,128,256,full,14,0,0.0,0.0,0.0,1.2324345245435357,4,0.0,5
fixed_duration_2048,fixed_duration,2048,32,128,256,natural_blocks,10,0,36.58294835880628,20.449815728017953,1.2708678352194225,1.2324345245435357,4,0.0,5
fixed_duration_2048,fixed_duration,2048,32,128,256,mean_precision,10,0,0.6121085082812456,0.10563323178918438,0.0005904028286528202,1.2324345245435357,4,0.0,5
fixed_duration_2048,fixed_duration,2048,32,128,256,moment_blocks,10,0,0.4008420447028769,0.0,0.0,1.2324345245435357,4,0.0,5
fixed_duration_2048,fixed_duration,2048,32,128,256,trace_isotropic,6,0,36.72489371877398,20.34383259003065,1.259544536733948,1.2324345245435357,4,0.0,5
fixed_duration_2048,fixed_duration,2048,32,128,256,prior_lowrank,8,0,3.9951573912411997,2.3549144877263286,0.5955799768212879,1.2324345245435357,4,0.0,5
