design,rate_hz,duration_s,separation_hz,sampling,observations,events,diag_kl_nats,within_kl_nats,magnitude_kl_nats,risk_oracle_kl_nats,moment_within_kl_nats,moment_best_kl_nats,full_kl_nats,moment_coverage90
0,1024,0.08,5.0,regular,64,6144,65.70605158206489,65.54985056891184,42.405836638180595,42.405836638180595,0.9815609657541966,0.5102019941541194,0.0,0.900634765625
1,1024,0.08,5.0,jitter,64,6144,65.7014278800349,65.4847656996938,42.52211233512072,42.52211233512072,0.9822956537473715,0.5109608856425147,0.0,0.9015299479166666
2,1024,0.08,5.0,block_missing,43,6144,41.72100095673317,41.18696979404414,17.504116972153724,17.504116972153724,0.825319586891724,0.26700089814954353,0.0,0.8985188802083334
3,1024,0.08,30.0,regular,64,6144,6.411518073823768,6.3959435934787905,2.0097811237586973,2.0097811237586973,0.06237957200669442,0.019161749441117593,0.0,0.8991292317708334
4,1024,0.08,30.0,jitter,64,6144,6.881105356781807,6.6374973274418565,2.1612752462671563,2.1612752462671563,0.06407212247329142,0.020035075163944427,0.0,0.898681640625
5,1024,0.08,30.0,block_missing,43,6144,13.49357070023747,13.459985338715436,1.1900221357863014,1.1900221357863014,0.20369603461295238,0.018371552361290178,0.0,0.89892578125
6,1024,0.2,5.0,regular,64,6144,35.65472075628987,35.60029504954181,8.639786500919053,8.639786500919053,0.8119338199528592,0.14232704052041267,0.0,0.8984781901041666
7,1024,0.2,5.0,jitter,64,6144,35.67463197400929,35.572088668196926,8.680657123635395,8.680657123635395,0.8125059257088321,0.14322716259650115,0.0,0.8994954427083334
8,1024,0.2,5.0,block_missing,48,6144,44.37379443826384,44.304343743135064,7.878308748484566,7.878308748484566,1.695570356783973,0.15130640100165582,0.0,0.9002685546875
9,1024,0.2,30.0,regular,64,6144,22.038186383949448,22.014088938410428,6.587588860611782,6.587588860611782,0.42608790097326743,0.11075801530318952,0.0,0.90234375
10,1024,0.2,30.0,jitter,64,6144,22.527390916281707,22.009959186023405,6.668713137856835,6.668713137856835,0.42175451245902984,0.10789218371848186,0.0,0.8992513020833334
11,1024,0.2,30.0,block_missing,48,6144,21.6066896766992,21.57943617525073,3.8879092506772572,3.8879092506772572,0.5091470630240531,0.07573829029956158,0.0,0.9007568359375
12,2048,0.08,5.0,regular,64,6144,68.3155008113889,64.55679545401694,34.8041217434099,34.8041217434099,0.9004240321434835,0.37434195381326774,0.0,0.9037272135416666
13,2048,0.08,5.0,jitter,64,6144,68.24610292259717,64.40032674932985,34.971007959914324,34.971007959914324,0.900442607284683,0.37530795648016824,0.0,0.89892578125
14,2048,0.08,5.0,block_missing,47,6144,43.39331311689764,40.31559576168106,13.914457632267935,13.914457632267935,0.717815487137262,0.18306182720015762,0.0,0.8987223307291666
15,2048,0.08,30.0,regular,64,6144,16.70630956062779,16.373233163007413,1.8403469166385789,1.8403469166385789,0.16394450961513574,0.01610080645061629,0.0,0.8994547526041666
16,2048,0.08,30.0,jitter,64,6144,16.839637628405768,16.45087491680982,1.8813546937600243,1.8813546937600243,0.16440750006137428,0.016358040192960388,0.0,0.9010823567708334
17,2048,0.08,30.0,block_missing,47,6144,27.084014675276723,26.482901393883164,14.080935878502265,14.080935878502265,0.41412472369954845,0.19571091463452994,0.0,0.9000244140625
18,2048,0.2,5.0,regular,64,6144,43.89474912823857,40.49615841894942,6.943335300254795,6.943335300254795,0.875793641941538,0.09331715509319949,0.0,0.9010823567708334
19,2048,0.2,5.0,jitter,64,6144,44.09570394008758,40.44784540200955,7.034525581576948,7.034525581576948,0.8746997139485266,0.0941321714843033,-8.881784197001252e-16,0.900390625
20,2048,0.2,5.0,block_missing,48,6144,54.86629700885882,51.03924083232888,4.825034312541639,4.825034312541639,1.9133025092364202,0.06742762618319809,1.7763568394002505e-15,0.900390625
21,2048,0.2,30.0,regular,64,6144,51.77116092451465,50.6760988677702,31.960686999020243,31.960686999020243,1.3225390024275605,0.5999473545664911,0.0,0.8995768229166666
22,2048,0.2,30.0,jitter,64,6144,51.51137836549075,50.29194327602497,31.758635282841663,31.758635282841663,1.3247360445607506,0.6018740182107818,0.0,0.8963623046875
23,2048,0.2,30.0,block_missing,48,6144,46.282691900362295,45.029894432546705,31.87331473599951,31.87331473599951,1.4089386496727823,0.7458448469254817,0.0,0.8987630208333334
