witness,value,scope
source_partition_sum_residual,0.0,finite_theory_only
source_role_rank_each,1.0,finite_theory_only
target_common_rank,0.0,finite_theory_only
target_missing_rank,1.0,finite_theory_only
mixed_operator_ambiguous_state_distance,1.4142135623730951,finite_theory_only
mixed_operator_observation_difference,0.0,finite_theory_only
unpaired_same_marginal_conditional_gap,1.0,finite_theory_only
correlated_prior_null_posterior_mean,0.4,finite_theory_only
correlated_prior_null_posterior_variance,0.6799999999999999,finite_theory_only
independent_prior_null_posterior_variance,1.0,finite_theory_only
projected_update_max_forbidden_energy,0.0,finite_theory_only
projected_update_max_observed_drift,0.0,finite_theory_only
empty_eligibility_generated_coordinates,0.0,finite_theory_only
target_conditional_reversal_gap,1.0,finite_theory_only
