scenario,calibration_groups,seed,selected_policy,radius,best_lower_bound,reference_test_risk,selected_test_risk,test_net_improvement,shift_bound
same_best,64,0,static_reference,0.3576985708238721,-0.3576985708238721,0.16553710937500005,0.16553710937500005,0.0,0.0
complementary,64,0,static_reference,0.3576985708238721,-0.2694485708238721,0.25,0.25,0.0,0.0
target_reversal,64,0,static_reference,0.3576985708238721,-0.26944857082387214,0.25,0.25,0.0,0.0
shift_allowance,64,0,static_reference,0.3576985708238721,-0.6694485708238722,0.25,0.25,0.0,0.4
same_best,64,1,static_reference,0.3576985708238721,-0.3576985708238721,0.15821289062500005,0.15821289062500005,0.0,0.0
complementary,64,1,static_reference,0.3576985708238721,-0.29757357082387215,0.25,0.25,0.0,0.0
target_reversal,64,1,static_reference,0.3576985708238721,-0.25069857082387215,0.25,0.25,0.0,0.0
shift_allowance,64,1,static_reference,0.3576985708238721,-0.6506985708238722,0.25,0.25,0.0,0.4
same_best,64,2,static_reference,0.3576985708238721,-0.3576985708238721,0.16187500000000005,0.16187500000000005,0.0,0.0
complementary,64,2,static_reference,0.3576985708238721,-0.24132357082387212,0.25,0.25,0.0,0.0
target_reversal,64,2,static_reference,0.3576985708238721,-0.26944857082387214,0.25,0.25,0.0,0.0
shift_allowance,64,2,static_reference,0.3576985708238721,-0.6694485708238722,0.25,0.25,0.0,0.4
same_best,2048,0,static_reference,0.06323277126257412,-0.06323277126257412,0.16084960937500006,0.16084960937500006,0.0,0.0
complementary,2048,0,hard_source_route,0.06323277126257412,0.025310197487425648,0.25,0.15718750000000004,0.10231249999999997,0.0
target_reversal,2048,0,hard_source_route,0.06323277126257412,0.04113050998742762,0.25,0.5125585937500002,-0.2530585937500001,0.0
shift_allowance,2048,0,static_reference,0.06323277126257412,-0.3588694900125724,0.25,0.25,0.0,0.4
same_best,2048,1,static_reference,0.06323277126257412,-0.06323277126257412,0.15879882812500007,0.15879882812500007,0.0,0.0
complementary,2048,1,hard_source_route,0.06323277126257412,0.03615004123742761,0.25,0.15791992187500004,0.10158007812499997,0.0
target_reversal,2048,1,hard_source_route,0.06323277126257412,0.033513322487427305,0.25,0.5157812500000003,-0.2562812500000001,0.0
shift_allowance,2048,1,static_reference,0.06323277126257412,-0.3664866775125727,0.25,0.25,0.0,0.4
same_best,2048,2,static_reference,0.06323277126257412,-0.06323277126257412,0.16187500000000005,0.16187500000000005,0.0,0.0
complementary,2048,2,hard_source_route,0.06323277126257412,0.04523207248742772,0.25,0.16041015625000005,0.09908984374999998,0.0
target_reversal,2048,2,hard_source_route,0.06323277126257412,0.04406019748742765,0.25,0.5228125000000002,-0.2633125000000001,0.0
shift_allowance,2048,2,static_reference,0.06323277126257412,-0.3559398025125724,0.25,0.25,0.0,0.4
