model,split,utterances,q,dtype,message_bytes,regularization,accuracy,macro_f1,onehot_mse,max_abs_score_delta_from_R,source_feature_condition
R_isotropic,validation,54,12,float64,96,0.0001,0.8518518518518519,0.8126984126984127,0.04715011316819896,0.0,16.068066904009846
R_isotropic,calibration,54,12,float64,96,0.0001,0.8333333333333334,0.7856328856328856,0.04794940927978202,0.0,16.068066904009846
R_isotropic,test,370,12,float64,96,0.0001,0.8594594594594595,0.8523978638389269,0.04511299810940188,0.0,16.068066904009846
PCA_R_isotropic,validation,54,12,float64,96,0.0001,0.8518518518518519,0.8126984126984127,0.047150113168198976,1.2490009027033011e-15,16.068066904009868
PCA_R_isotropic,calibration,54,12,float64,96,0.0001,0.8333333333333334,0.7856328856328856,0.04794940927978203,1.5543122344752192e-15,16.068066904009868
PCA_R_isotropic,test,370,12,float64,96,0.0001,0.8594594594594595,0.8523978638389269,0.04511299810940188,1.8041124150158794e-15,16.068066904009868
PCA_R_matched,validation,54,12,float64,96,0.0001,0.8518518518518519,0.8126984126984127,0.047150113168198976,1.304512053934559e-15,16.068066904009868
PCA_R_matched,calibration,54,12,float64,96,0.0001,0.8333333333333334,0.7856328856328856,0.04794940927978203,1.5543122344752192e-15,16.068066904009868
PCA_R_matched,test,370,12,float64,96,0.0001,0.8594594594594595,0.8523978638389269,0.045112998109401885,1.8596235662471372e-15,16.068066904009868
orthogonal_R_isotropic,validation,54,12,float64,96,0.0001,0.8518518518518519,0.8126984126984127,0.047150113168199004,3.566591466608315e-15,16.068066904009864
orthogonal_R_isotropic,calibration,54,12,float64,96,0.0001,0.8333333333333334,0.7856328856328856,0.047949409279782064,4.496403249731884e-15,16.068066904009864
orthogonal_R_isotropic,test,370,12,float64,96,0.0001,0.8594594594594595,0.8523978638389269,0.04511299810940188,4.107825191113079e-15,16.068066904009864
orthogonal_R_matched,validation,54,12,float64,96,0.0001,0.8518518518518519,0.8126984126984127,0.047150113168199004,3.552713678800501e-15,16.068066904009864
orthogonal_R_matched,calibration,54,12,float64,96,0.0001,0.8333333333333334,0.7856328856328856,0.047949409279782064,4.385380947269368e-15,16.068066904009864
orthogonal_R_matched,test,370,12,float64,96,0.0001,0.8594594594594595,0.8523978638389269,0.045112998109401885,4.163336342344337e-15,16.068066904009864
whitened_R_isotropic,validation,54,12,float64,96,0.0001,0.8518518518518519,0.8126984126984127,0.047126408343490175,0.0229567497889972,1.000000000000003
whitened_R_isotropic,calibration,54,12,float64,96,0.0001,0.8333333333333334,0.7856328856328856,0.048049943275207986,0.017491519541038336,1.000000000000003
whitened_R_isotropic,test,370,12,float64,96,0.0001,0.8594594594594595,0.8523978638389269,0.045166690150547334,0.026251453558644777,1.000000000000003
whitened_R_matched,validation,54,12,float64,96,0.0001,0.8518518518518519,0.8126984126984127,0.04715011316819897,1.3877787807814457e-15,1.000000000000003
whitened_R_matched,calibration,54,12,float64,96,0.0001,0.8333333333333334,0.7856328856328856,0.04794940927978203,1.3877787807814457e-15,1.000000000000003
whitened_R_matched,test,370,12,float64,96,0.0001,0.8594594594594595,0.8523978638389269,0.04511299810940188,1.7763568394002505e-15,1.000000000000003
